PRODUCAO;jan;fev;mar;abr;maio;junho;julho;agos;set;out;nov;dez;TOTAL;

UNIVERSIDADE FEDERAL DE GOIAS;
periodicos nacionais;6;0;15;9;0;0;0;0;2;0;13;4;49;
Livro nacional;3;0;3;1;0;0;0;0;2;0;5;11;25;
Capitulos de livro nacional;0;0;11;3;0;0;0;0;5;0;8;10;37;
Trabalhos completos publicados em anais de congresso nacional;35;0;145;39;0;0;0;0;4;0;8;7;238;
Resumos expandidos nacionais;10;0;100;27;0;0;0;0;19;0;0;0;156;
Resumos em congressos nacionais;41;0;214;30;0;0;0;0;42;0;1;32;360;
Artigos completos publicados em periodicos internacionais;35;0;85;22;0;0;0;0;28;0;3;9;182;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;1;0;0;0;0;0;0;0;0;0;1;
Trabalhos completos publicados em anais de congresso internac.;0;0;5;0;0;0;0;0;0;0;0;0;5;
Resumos expandidos internacionais;0;0;2;0;0;0;0;0;0;0;0;0;2;
Resumos em congressos internacionais;11;0;8;0;0;0;0;0;0;0;0;0;19;

;
CIENCIAS AGRARIAS;
periodicos nacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;
Livro nacional;0;0;0;0;0;0;0;0;2;0;0;0;2;
Capitulos de livro nacional;0;0;1;0;0;0;0;0;5;0;0;0;6;
Trabalhos completos publicados em anais de congresso nacional;0;0;11;0;0;0;0;0;0;0;0;0;11;
Resumos expandidos nacionais;0;0;71;0;0;0;0;0;15;0;0;0;86;
Resumos em congressos nacionais;0;0;43;0;0;0;0;0;18;0;0;0;61;
Artigos completos publicados em periodicos internacionais;0;0;26;0;0;0;0;0;17;0;0;0;43;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;2;0;0;0;0;0;0;0;0;0;2;
Resumos expandidos internacionais;0;0;1;0;0;0;0;0;0;0;0;0;1;
Resumos em congressos internacionais;0;0;0;0;0;0;0;0;0;0;0;0;0;

;
CIENCIAS BIOLOGICAS;
periodicos nacionais;0;0;14;0;0;0;0;0;2;0;0;0;16;
Livro nacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro nacional;0;0;1;0;0;0;0;0;0;0;0;0;1;
Trabalhos completos publicados em anais de congresso nacional;0;0;27;0;0;0;0;0;2;0;0;0;29;
Resumos expandidos nacionais;0;0;18;0;0;0;0;0;0;0;0;0;18;
Resumos em congressos nacionais;0;0;99;0;0;0;0;0;13;0;0;0;112;
Artigos completos publicados em periodicos internacionais;0;0;32;0;0;0;0;0;11;0;0;0;43;
Livro internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Capitulos de livro Internacional;0;0;0;0;0;0;0;0;0;0;0;0;0;
Trabalhos completos publicados em anais de congresso internac.;0;0;0;0;0;0;0;0;0;0;0;0;0;
